iterations,rank,insampling_error,outofsampling_error,general_error
1.0,2,10.956504183863904,0.6553661685332032,11.61187035239715
2.0,2,8.273635850213225,1.6124679240145732,9.886103774227767
3.0,5,6.414979446991537,2.4672582846646205,8.882237731656149
4.0,7,5.3877998524110575,3.2915771469776636,8.679376999388715
5.0,9,4.847696782752873,4.035042971390198,8.88273975414306
6.0,11,4.517214942976108,4.718208239266473,9.235423182242537
7.0,13,4.305499471844971,5.341314778178823,9.646814250023802
8.0,16,4.076437159931883,5.9134175837696565,9.989854743701558
9.0,19,3.9035737234905117,6.44902844960754,10.352602173098022
10.0,23,3.7051770818590053,6.946792313659018,10.651969395518
11.0,28,3.536058993193613,7.406574838669136,10.94263383186273
12.0,33,3.3572301141519953,7.835575930980497,11.192806045132459
13.0,39,3.2001810029142557,8.237028782745917,11.437209785660169
14.0,49,3.023189224518464,8.614209949731357,11.637399174249824
15.0,56,2.84819842338632,8.969055589371019,11.81725401275735
16.0,65,2.6977398512089428,9.301527986668333,11.99926783787723
17.0,74,2.5638552250580338,9.616590150279713,12.180445375337753
18.0,83,2.4343951560295247,9.912463913114717,12.346859069144234
19.0,93,2.3203329245262885,10.188459383117662,12.508792307643976
20.0,104,2.2100848267420985,10.445806930088567,12.655891756830659
21.0,114,2.1033643168460165,10.687055455245204,12.79041977209121
22.0,125,2.0021047044567952,10.910968169664871,12.913072874121681
23.0,135,1.9171299927780876,11.120134640033754,13.037264632811818
24.0,146,1.8322851619879832,11.315646940318665,13.147932102306653
25.0,157,1.7532383638957194,11.497785875727125,13.251024239622858
26.0,169,1.6752346698673304,11.667790829081573,13.343025498948935
